epoch;loss;accuracy
0;2.721544272316407;0.5
1;2.3209633999031367;0.5
2;1.9731761197531787;0.5
3;1.6728717847267585;0.5
4;1.4148242258581711;0.5
5;1.194034478895034;0.5
6;1.0058296230143653;0.5
7;0.8459230742698521;0.5
8;0.7104433967433194;0.5
9;0.5959390193179102;0.5
10;0.4993656880391379;0.5
11;0.41806246833684896;0.5
12;0.3497209427489708;0.5
13;0.2923511192533096;0.5
14;0.24424657431822425;0.5
15;0.20395054280623345;0.5
16;0.17022403536989877;0.5
17;0.1420165942501728;0.5
18;0.11843996339154875;0.5
19;0.09874472027301666;0.5
20;0.08229976907021248;0.5
21;0.06857450603302448;0.5
22;0.05712342098315027;0.5
23;0.047572880342721176;0.5
24;0.0396098372542626;0.5
25;0.03297222604611;0.5
26;0.027440816556980864;0.5
27;0.02283232526623317;0.5
28;0.0189936025468543;0.5
29;0.015796737255842914;0.5
30;0.013134940465653274;0.5
31;0.010919088976248837;0.5
32;0.009074826144549785;0.5
33;0.00754013250666451;0.5
34;0.006263291729046354;0.5
35;0.005201188745017176;0.5
36;0.0043178866778259516;0.5
37;0.003583437493896533;0.5
38;0.0029728884402913185;0.5
39;0.002465452358786322;0.5
40;0.0020438150817141667;0.5
41;0.0016935574331896522;0.5
42;0.0014026729994713613;0.5
43;0.0011611658953918638;0.5
44;0.0009607153277964638;0.5
45;0.000794395917308197;0.5
46;0.00065644455113675;0.5
47;0.0005420660571315043;0.5
48;0.0004472712596354421;0.5
49;0.00036874204049236334;0.5
50;0.0003037189172477774;0.5
51;0.00024990739334075445;0.5
52;0.00020539995562448063;0.5
53;0.0001686111128102191;0.5
54;0.0001382233011312981;0.5
55;0.00011314184469323412;0.5
56;9.245745937086504e-05;0.5
57;7.541504057187483e-05;0.5
58;6.13876849400497e-05;0.5
59;4.9855071009804586e-05;0.5
60;4.038546970037801e-05;0.5
61;3.2620777163098926e-05;0.5
62;2.6264063888682106e-05;0.5
63;2.10692184950046e-05;0.5
64;1.6832335054366e-05;0.5
65;1.3384551517514328e-05;0.5
66;1.058609570349802e-05;0.5
67;8.321336075029272e-06;0.5
68;6.49466846863024e-06;0.5
69;5.027098228534068e-06;0.5
70;3.853400748015941e-06;0.5
71;2.919763039540442e-06;0.5
72;2.1818252916296906e-06;0.5
73;1.6030549739495586e-06;0.5
74;1.1533973782548543e-06;0.5
75;8.081559123164159e-07;0.5
76;5.470633135993848e-07;0.5
77;3.535114829621365e-07;0.5
78;2.1391307682296731e-07;0.5
79;1.1717252141801675e-07;0.5
80;5.424787867777815e-08;0.5
81;1.778812623841543e-08;0.5
82;1.8330207871196946e-09;0.5
83;1.564882116264852e-09;0.5
84;1.3103438730299623e-08;0.5
85;3.33363756095848e-08;0.5
86;5.977947187004749e-08;0.5
87;9.046125292816988e-08;0.5
88;1.2382794373719948e-07;0.5
89;1.5866522608241424e-07;0.5
90;1.9403389832837557e-07;0.5
91;2.2921703068683134e-07;0.5
92;2.636766200842653e-07;0.5
93;2.970180900289205e-07;0.5
94;3.2896126438803033e-07;0.5
95;3.593166793113291e-07;0.5
96;3.879662928825786e-07;0.5
97;4.148478142491981e-07;0.5
98;4.399420083946593e-07;0.5
99;4.632624443368074e-07;0.5
100;4.848472470094205e-07;0.5
101;5.047524896925919e-07;0.5
102;5.230469274454753e-07;0.5
103;5.39807824566159e-07;0.5
104;5.551176726468295e-07;0.5
105;5.690616318262836e-07;0.5
106;5.817255576921574e-07;0.5
107;5.931945008570565e-07;0.5
108;6.035515866239387e-07;0.5
109;6.128771989533178e-07;0.9375
110;6.212484067839984e-07;0.9375
111;6.287385822273399e-07;0.9375
112;6.354171694736817e-07;0.9375
113;6.413495711176127e-07;0.9375
114;6.465971248257007e-07;0.9375
115;6.512171486200206e-07;0.9375
116;6.552630372166604e-07;0.9375
117;6.587843954561348e-07;0.9375
118;6.618271976397027e-07;0.9375
119;6.644339639733128e-07;0.9375
120;6.666439471989569e-07;0.9375
121;6.684933240185661e-07;0.9375
122;6.700153871916487e-07;0.9375
123;6.712407351370769e-07;0.9375
124;6.72197456774264e-07;0.9375
125;6.729113098453262e-07;0.9375
126;6.734058916099217e-07;0.9375
127;6.737028011250202e-07;0.9375
