year,month,day,consumption
2018,1,1,103.31111375
2018,1,2,138.79558304166667
2018,1,3,123.85891199999999
2018,1,4,133.034709
2018,1,5,162.77780004166667
2018,1,6,160.85141233333334
2018,1,7,152.346251375
2018,1,8,185.2089085
2018,1,9,182.02566233333334
2018,1,10,159.08910595833333
2018,1,11,156.31149054166667
2018,1,12,152.84540295833332
2018,1,13,125.62629979166667
2018,1,14,110.91021729166665
2018,1,15,142.56981575
2018,1,16,125.416088
2018,1,17,151.29787729166665
2018,1,18,152.62542075000002
2018,1,19,143.56271095833333
2018,1,20,119.429644625
2018,1,21,106.05186633333334
2018,1,22,137.66452683333333
2018,1,23,140.951982125
2018,1,24,137.14283833333334
2018,1,25,137.67189066666666
2018,1,26,133.11655570833332
2018,1,27,120.758016125
2018,1,28,111.52250004166666
2018,1,29,143.69718141666667
2018,1,30,135.285586625
2018,1,31,137.90542808333333
2018,2,1,138.34650370833333
2018,2,2,124.159733125
2018,2,3,90.88151495833334
2018,2,4,77.14483120833333
2018,2,5,112.48468554166668
2018,2,6,111.81658679166667
2018,2,7,119.72041554166667
2018,2,8,122.72068816666666
2018,2,9,120.03284266666667
2018,2,10,103.01365433333332
2018,2,11,101.02518279166667
2018,2,12,132.720546125
2018,2,13,131.82737729166666
2018,2,14,121.38992154166665
2018,2,15,122.06283154166668
2018,2,16,128.895496375
2018,2,17,98.22103266666666
2018,2,18,90.15669795833333
2018,2,19,122.11434675
2018,2,20,128.9867475
2018,2,21,137.48685508333332
2018,2,22,133.004621375
2018,2,23,122.880874375
2018,2,24,114.40840770833334
2018,2,25,105.12655000000001
2018,2,26,136.59517883333334
2018,2,27,122.79765504166666
2018,2,28,130.5100235
2018,3,1,142.52852895833334
2018,3,2,151.56830933333333
2018,3,3,126.12062316666668
2018,3,4,95.59953595833333
2018,3,5,146.08834045833333
2018,3,6,153.4181855
2018,3,7,143.1866809166667
2018,3,8,137.03862358333333
2018,3,9,141.99230829166666
2018,3,10,117.177834
2018,3,11,114.51987520833335
